slot,true_anomaly_deg,speed_kms,perigee_gain_km,qubo_fires_phase1,apogee_gain_km,qubo_fires_phase2
0,0.000,10.749813,10.7457,0,1350.1413,1
1,121.660,5.296010,28.1280,0,1128.4988,1
2,140.513,3.726937,39.8931,0,1142.2969,1
3,149.761,2.933609,51.4590,0,934.0401,0
4,155.862,2.412065,63.3707,0,718.1886,0
5,160.465,2.026053,76.0765,0,544.1483,0
6,164.223,1.721808,90.0058,0,407.4045,0
7,167.455,1.474312,105.4027,0,297.5016,0
8,170.342,1.271751,122.0693,0,206.9656,0
9,172.999,1.110015,138.8789,0,132.4545,0
10,175.507,0.990403,153.2142,1,74.8786,0
11,177.925,0.917787,161.2166,1,38.3532,0
12,180.304,0.897545,159.9293,1,26.4470,0
13,182.688,0.931603,149.8531,1,37.9375,0
14,185.124,1.016830,134.4744,0,67.2166,0
15,187.665,1.147593,117.4671,0,108.3565,0
16,190.373,1.319709,101.0439,0,157.7778,0
17,193.336,1.533107,86.0467,0,214.5424,0
18,196.682,1.793580,72.5436,0,280.0136,0
19,200.619,2.115572,60.2508,0,358.1610,0
20,205.524,2.529259,48.7040,0,457.6289,0
21,212.201,3.101346,37.2040,0,599.4767,0
22,222.862,4.012976,24.2562,0,856.7882,0
23,248.023,6.054929,6.4483,0,1577.1350,1
