pass,epoch,elapsed_days,a_km,e,period_h,apogee_km,perigee_alt_km,fuel_kg,dv_pass_m_s,burn_s,duty,power_w,regime,schedule,matches_top_k,gain_pred_km,gain_meas_km,slot_burn_fraction_min
1,08 Jan 2026 00:01:50.013,1.001,42524.4,0.832468,24.242,77924.5,746.1,3.447030,5.978,2572.2,0.03000,14.80,cardinality,0000110000,True,985.49,992.45,0.000
2,09 Jan 2026 00:29:55.684,2.021,43049.1,0.834568,24.692,78976.6,743.6,3.438402,6.175,2618.1,0.03000,14.80,cardinality,0000110000,True,1038.90,1046.57,-0.000
3,10 Jan 2026 01:25:52.960,3.060,43603.5,0.836628,25.170,80083.4,745.5,3.429469,6.397,2666.7,0.03000,14.80,cardinality,0000110000,True,1098.45,1106.95,-0.000
4,11 Jan 2026 02:51:26.419,4.119,44189.0,0.838664,25.679,81248.8,751.1,3.420232,6.618,2718.4,0.03000,14.80,cardinality,0000110000,True,1162.36,1170.42,0.005
5,12 Jan 2026 04:48:17.773,5.200,44801.1,0.840692,26.214,82465.0,759.0,3.410808,6.756,2773.3,0.03000,14.81,cardinality,0000110000,True,1215.60,1224.30,0.044
6,13 Jan 2026 07:18:07.498,6.304,45442.2,0.842760,26.779,83739.1,767.2,3.401188,6.901,2831.2,0.03000,14.80,cardinality,0000110000,True,1272.98,1282.38,0.085
7,14 Jan 2026 10:22:46.611,7.432,46115.2,0.844915,27.376,85078.6,773.7,3.391361,7.053,2892.2,0.03000,14.80,cardinality,0000110000,True,1335.09,1345.28,0.127
8,15 Jan 2026 14:04:17.475,8.586,46822.7,0.847194,28.009,86490.6,776.7,3.381315,7.215,2956.6,0.03000,14.80,cardinality,0000110000,True,1402.60,1413.68,0.157
9,16 Jan 2026 18:24:54.600,9.767,47567.9,0.849618,28.680,87982.5,775.2,3.371037,7.386,3024.9,0.03000,14.81,cardinality,0000110000,True,1476.26,1488.34,0.144
10,17 Jan 2026 23:27:07.358,10.977,48355.1,0.852193,29.395,89563.0,769.1,3.360512,7.568,3097.4,0.03000,14.80,cardinality,0000110000,True,1556.90,1570.13,0.132
11,19 Jan 2026 05:13:40.451,12.218,49187.4,0.854897,30.157,91237.6,759.1,3.349725,7.762,3174.6,0.03000,14.81,cardinality,0000110000,True,1645.39,1659.92,0.121
12,20 Jan 2026 11:47:35.562,13.491,50069.9,0.857695,30.972,93014.6,747.1,3.338658,7.968,3257.0,0.03000,14.80,cardinality,0000110000,True,1742.70,1758.73,0.110
13,21 Jan 2026 19:12:13.505,14.800,51006.9,0.860533,31.846,94900.0,735.6,3.327292,8.189,3345.0,0.03000,14.80,cardinality,0000110000,True,1849.92,1867.66,0.096
14,23 Jan 2026 03:31:16.286,16.147,52004.4,0.863360,32.784,96902.9,727.7,3.315605,8.426,3439.3,0.03000,14.80,cardinality,0000110000,True,1968.32,1988.03,0.079
15,24 Jan 2026 12:48:49.886,17.534,53067.9,0.866132,33.795,99031.7,726.0,3.303574,8.681,3540.7,0.03000,14.80,cardinality,0000110000,True,2099.39,2121.38,0.056
16,25 Jan 2026 23:09:26.693,18.965,54204.2,0.868837,34.887,101298.8,731.5,3.291172,8.955,3649.9,0.03000,14.80,cardinality,0000110000,True,2244.94,2269.59,0.026
