N,density,coefficient_range,topology,method,embedded,max_chain,mean_chain,physical_qubits,time_s
10,1.0,246.80180467723423,Pegasus P16 (Advantage),clique,True,2,2.0,20,5.7200086303055286e-05
10,1.0,246.80180467723423,Pegasus P16 (Advantage),heuristic,True,2,1.6,16,0.15239130007103086
10,1.0,246.80180467723423,Zephyr Z12 (Advantage2),clique,True,3,3.0,30,3.0199997127056122e-05
10,1.0,246.80180467723423,Zephyr Z12 (Advantage2),heuristic,True,2,1.7,17,0.15013829991221428
15,1.0,391.0259842778613,Pegasus P16 (Advantage),clique,True,3,3.0,45,2.1300045773386955e-05
15,1.0,391.0259842778613,Pegasus P16 (Advantage),heuristic,True,3,2.4,36,0.35274040000513196
15,1.0,391.0259842778613,Zephyr Z12 (Advantage2),clique,True,3,3.0,45,2.059992402791977e-05
15,1.0,391.0259842778613,Zephyr Z12 (Advantage2),heuristic,True,3,1.9333333333333333,29,0.2774393999716267
20,1.0,548.9830087184832,Pegasus P16 (Advantage),clique,True,3,3.0,60,1.7700018361210823e-05
20,1.0,548.9830087184832,Pegasus P16 (Advantage),heuristic,True,3,2.7,54,1.0883793999673799
20,1.0,548.9830087184832,Zephyr Z12 (Advantage2),clique,True,3,3.0,60,2.52000754699111e-05
20,1.0,548.9830087184832,Zephyr Z12 (Advantage2),heuristic,True,3,2.45,49,0.7497110000113025
50,1.0,1543.4580476617984,Pegasus P16 (Advantage),clique,True,6,5.8,290,2.050003968179226e-05
50,1.0,1543.4580476617984,Pegasus P16 (Advantage),heuristic,True,8,5.66,283,10.05065220000688
50,1.0,1543.4580476617984,Zephyr Z12 (Advantage2),clique,True,5,5.0,250,2.559996210038662e-05
50,1.0,1543.4580476617984,Zephyr Z12 (Advantage2),heuristic,True,7,5.22,261,14.940418799989857
100,1.0,3211.304437557412,Pegasus P16 (Advantage),clique,True,10,9.82,982,5.859998054802418e-05
100,1.0,3211.304437557412,Pegasus P16 (Advantage),heuristic,True,22,13.66,1366,111.75383860000875
100,1.0,3211.304437557412,Zephyr Z12 (Advantage2),clique,True,8,8.0,800,3.5199918784201145e-05
100,1.0,3211.304437557412,Zephyr Z12 (Advantage2),heuristic,True,16,10.42,1042,101.37221019994467
150,1.0,4882.643467689117,Pegasus P16 (Advantage),clique,True,14,13.826666666666666,2074,4.9299909733235836e-05
150,1.0,4882.643467689117,Pegasus P16 (Advantage),heuristic,False,,,,151.1352385999635
150,1.0,4882.643467689117,Zephyr Z12 (Advantage2),clique,True,11,11.0,1650,5.319993942975998e-05
150,1.0,4882.643467689117,Zephyr Z12 (Advantage2),heuristic,False,,,,143.074358999962
200,1.0,6553.499246885232,Pegasus P16 (Advantage),clique,False,,,,3.360002301633358e-05
200,1.0,6553.499246885232,Pegasus P16 (Advantage),heuristic,False,,,,158.78374739992432
200,1.0,6553.499246885232,Zephyr Z12 (Advantage2),clique,False,,,,3.560003824532032e-05
200,1.0,6553.499246885232,Zephyr Z12 (Advantage2),heuristic,False,,,,150.92739870003425
