case,solver,seed_index,objective,feasible,success,max_defect,max_bc_error,n_iterations
A (baseline),SLSQP,0,4.01281111,True,True,1.719e-09,0.000e+00,153
A (baseline),SLSQP,1,9.27576199,False,False,2.834e-03,0.000e+00,300
A (baseline),SLSQP,2,10.73793625,True,True,8.820e-12,0.000e+00,264
A (baseline),SLSQP,3,5.23389557,True,True,2.039e-10,0.000e+00,181
A (baseline),SLSQP,4,15.22114107,False,False,3.594e-05,0.000e+00,300
A (baseline),SLSQP,5,7.78400670,False,False,1.057e-02,0.000e+00,300
A (baseline),SLSQP,6,19.70200229,True,True,1.767e-10,0.000e+00,236
A (baseline),SLSQP,7,4.79123362,True,True,7.024e-10,0.000e+00,165
A (baseline),SLSQP,8,3.22693011,True,True,3.214e-10,0.000e+00,237
A (baseline),SLSQP,9,4.00534330,True,True,3.889e-09,0.000e+00,265
A (baseline),SLSQP,10,4.72882885,False,False,3.636e-03,0.000e+00,300
A (baseline),SLSQP,11,6.48121719,False,False,8.953e-03,0.000e+00,300
A (baseline),SLSQP,12,1.40527896,True,True,3.355e-10,0.000e+00,289
A (baseline),SLSQP,13,2.83577057,True,True,9.300e-11,0.000e+00,267
A (baseline),SLSQP,14,7.39739849,True,True,2.049e-11,0.000e+00,191
A (baseline),SLSQP,15,13.70919865,False,False,5.835e-02,0.000e+00,300
A (baseline),SLSQP,16,12.49175734,True,True,2.768e-10,0.000e+00,252
A (baseline),SLSQP,17,4.14934645,True,True,7.960e-11,0.000e+00,209
A (baseline),SLSQP,18,15.66391772,False,False,4.628e-02,0.000e+00,300
A (baseline),SLSQP,19,15.00460587,False,False,3.549e-02,0.000e+00,300
A (baseline),SLSQP,20,4.69750332,False,False,1.159e-02,0.000e+00,300
A (baseline),SLSQP,21,4.34339233,False,False,2.578e-05,0.000e+00,300
A (baseline),SLSQP,22,6.19000247,False,False,3.178e-02,0.000e+00,300
A (baseline),SLSQP,23,3.88991752,True,True,1.755e-10,0.000e+00,284
A (baseline),SLSQP,24,6.86129493,False,False,8.782e-03,0.000e+00,300
