N,solver,reference,p,t_run_s,tts99_s,best_energy,coefficient_range
10,sa,exact,1.0,0.03609541999176145,0.03609541999176145,9.137258478263263e-05,246.80180467723423
10,sb,exact,1.0,3.759772570017958,3.759772570017958,9.137258478263263e-05,246.80180467723423
10,kerberos,exact,1.0,0.35537438999162985,0.35537438999162985,9.137258478263263e-05,246.80180467723423
15,sa,exact,0.8,0.07769284500391223,0.22230666415425349,5.852908866106274e-06,391.0259842778613
15,sb,exact,0.75,3.8242188099888152,12.70377990589856,5.852908866106274e-06,391.0259842778613
15,kerberos,exact,1.0,0.3536233799997717,0.3536233799997717,5.852908866106274e-06,391.0259842778613
20,sa,exact,1.0,0.16127333999611437,0.16127333999611437,1.0168579308298016e-05,548.9830087184832
20,sb,exact,1.0,3.227889895008411,3.227889895008411,1.0168579308298016e-05,548.9830087184832
20,kerberos,exact,1.0,0.35910043500480243,0.35910043500480243,1.0168579308298016e-05,548.9830087184832
50,sa,best-known,0.0,0.47941366499871946,inf,6.36561982055462e-06,1543.4580476617984
50,sb,best-known,0.1,4.9527789199899415,216.4794816893414,3.132638750906209e-06,1543.4580476617984
50,kerberos,best-known,0.0,0.4480590099992696,inf,4.5682273226727715e-06,1543.4580476617984
100,sa,best-known,0.0,1.669501964992378,inf,7.778046226051584e-06,3211.304437557412
100,sb,best-known,0.0,6.31529955000733,inf,4.322296435854776e-06,3211.304437557412
100,kerberos,best-known,1.0,0.6477867099980358,0.6477867099980358,2.9858622741497053e-06,3211.304437557412
200,sa,best-known,0.0,6.453127374988981,inf,7.030752963601075e-06,6553.499246885232
200,sb,best-known,0.05,9.500775125005749,852.9903737294945,3.7999992197699367e-06,6553.499246885232
200,kerberos,best-known,0.0,1.442996049998328,inf,4.638025746257508e-06,6553.499246885232
