group,window_t_max,brake_factor,moon_action_radius,captured,dV_m_s,n_burns,n_windows,e_init,e_final,apo_init_km,apo_final_km,wall_time_s
window_t_max=0.005,0.005,1.0,0.1,1,2.56,300,60,-2.279574e-01,-2.306928e-01,14752.3,14488.3,13.39
window_t_max=0.01,0.01,1.0,0.1,1,4.50,264,60,-2.279574e-01,-2.314891e-01,14752.3,14274.7,12.70
window_t_max=0.02,0.02,1.0,0.1,1,9.41,276,60,-2.279574e-01,-2.356380e-01,14752.3,13631.9,12.91
window_t_max=0.04,0.04,1.0,0.1,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.39
window_t_max=0.08,0.08,1.0,0.1,1,33.83,255,60,-2.279574e-01,-2.515863e-01,14752.3,12824.1,19.01
brake=0.8,0.04,0.8,0.1,1,34.04,499,60,-2.279574e-01,-2.497947e-01,14752.3,13193.7,17.03
brake=0.9,0.04,0.9,0.1,1,23.67,347,60,-2.279574e-01,-2.447068e-01,14752.3,13279.4,15.01
brake=1.0,0.04,1.0,0.1,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.48
brake=1.1,0.04,1.1,0.1,1,5.66,83,60,-2.279574e-01,-2.332775e-01,14752.3,13971.1,11.82
brake=1.2,0.04,1.2,0.1,1,4.02,59,60,-2.279574e-01,-2.317010e-01,14752.3,14128.2,11.91
action_r=0.04,0.04,1.0,0.04,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.52
action_r=0.08,0.04,1.0,0.08,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.43
action_r=0.1,0.04,1.0,0.1,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.28
action_r=0.2,0.04,1.0,0.2,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.38
action_r=0.5,0.04,1.0,0.5,1,11.94,175,60,-2.279574e-01,-2.374100e-01,14752.3,13659.5,12.48
