slot,true_anomaly_deg,speed_kms,energy_gain_J_per_kg,qubo_fires
0,0.000,9.858673,3.5892,1
1,87.727,7.195479,2.5338,1
2,117.625,5.293050,1.9453,1
3,132.654,4.233678,1.5872,1
4,142.435,3.534615,1.3371,1
5,149.714,3.024961,1.1479,0
6,155.587,2.632352,0.9987,0
7,160.593,2.321965,0.8786,0
8,165.035,2.076323,0.7827,0
9,169.101,1.887296,0.7087,0
10,172.923,1.752249,0.6565,0
11,176.596,1.671568,0.6270,0
12,180.201,1.646571,0.6210,0
13,183.810,1.677855,0.6388,0
14,187.496,1.764687,0.6800,0
15,191.340,1.905759,0.7439,0
16,195.441,2.100915,0.8304,0
17,199.935,2.353270,0.9414,0
18,205.020,2.671766,1.0817,0
19,211.018,3.075301,1.2616,1
20,218.506,3.601529,1.5022,1
21,228.687,4.329493,1.8517,1
22,244.655,5.449516,2.4389,1
23,277.808,7.504549,3.4479,1
