days,sma_km,rapo_km,rper_km,fuel_kg,inc_deg
0.000000000000000000e+00,2.464763699999999881e+04,4.226313703879999957e+04,7.032136961170000177e+03,8.200000000000000000e+01,7.000000000000000000e+00
5.000000000000000000e+00,2.569022335999999996e+04,4.370430445319999853e+04,7.676142266730000301e+03,7.965137614680000411e+01,7.003600510750000119e+00
1.000000000000000000e+01,2.693671941299999889e+04,4.552008427240000310e+04,8.353354553560000568e+03,7.730275229350000643e+01,6.992221332999999817e+00
1.500000000000000000e+01,2.824638158200000180e+04,4.735224788840000110e+04,9.140515275640000254e+03,7.495412844029999633e+01,6.996941886900000185e+00
2.000000000000000000e+01,2.971118342299999858e+04,4.942772081959999923e+04,9.994646026360000178e+03,7.260550458699999865e+01,7.004595613540000265e+00
2.500000000000000000e+01,3.128343311249999897e+04,5.161256142669999826e+04,1.095430479820000073e+04,7.025688073380000276e+01,6.990375468299999895e+00
3.000000000000000000e+01,3.304741564849999850e+04,5.406146131210000021e+04,1.203336998490000042e+04,6.790825688050000508e+01,7.004246390669999656e+00
3.500000000000000000e+01,3.496234687980000308e+04,5.668122144100000151e+04,1.324347231859999920e+04,6.555963302729999498e+01,7.005332880420000130e+00
4.000000000000000000e+01,3.707054693109999789e+04,5.955842579750000004e+04,1.458266806469999938e+04,6.321100917399999730e+01,7.001894841540000414e+00
4.500000000000000000e+01,3.943408061409999937e+04,6.274213751999999658e+04,1.612602370809999957e+04,6.086238532080000141e+01,7.018775267099999660e+00
5.000000000000000000e+01,4.200172735989999637e+04,6.611149100880000333e+04,1.789196371100000033e+04,5.851376146749999663e+01,7.015473536310000036e+00
5.500000000000000000e+01,4.495900738599999750e+04,7.010122520570000052e+04,1.981678956630000175e+04,5.616513761430000073e+01,7.008791161889999621e+00
6.000000000000000000e+01,4.813905099070000142e+04,7.405461832049999794e+04,2.222348366099999839e+04,5.381651376100000306e+01,7.030733958659999949e+00
6.500000000000000000e+01,5.186980721810000250e+04,7.898007282020000275e+04,2.475954161599999861e+04,5.146788990780000006e+01,7.018474769830000071e+00
7.000000000000000000e+01,5.602640162560000317e+04,8.423803903280000668e+04,2.781476421850000042e+04,4.911926605450000238e+01,7.030984496300000330e+00
7.500000000000000000e+01,6.090608259879999969e+04,9.056344858090000344e+04,3.124871661669999958e+04,4.677064220129999939e+01,7.042119239089999816e+00
8.000000000000000000e+01,6.613949397999999928e+04,9.677059366359999694e+04,3.550839429650000238e+04,4.442201834800000171e+01,7.004433427400000411e+00
8.500000000000000000e+01,7.287872145549999550e+04,1.058156290730000037e+05,3.994181383769999957e+04,4.207339449469999693e+01,7.031286671810000222e+00
9.000000000000000000e+01,8.036889220849999401e+04,1.152972746340000012e+05,4.544050978330000362e+04,3.972477064150000103e+01,7.017454508040000150e+00
9.500000000000000000e+01,8.871827242559999286e+04,1.248587961559999967e+05,5.257774869559999934e+04,3.737614678820000336e+01,6.996986644599999750e+00
1.000000000000000000e+02,9.905412388939999801e+04,1.373913992269999871e+05,6.071684855170000083e+04,3.502752293500000036e+01,6.999761134559999931e+00
1.050000000000000000e+02,1.107809454419999965e+05,1.499355714370000060e+05,7.162631944720000320e+04,3.267889908170000268e+01,6.942743117320000046e+00
1.100000000000000000e+02,1.256431621949999972e+05,1.668476342090000107e+05,8.443869018099999812e+04,3.033027522840000145e+01,6.926067622729999762e+00
1.150000000000000000e+02,1.437172433740000124e+05,1.871970786369999987e+05,1.002374081100000039e+05,2.798165137519999845e+01,6.887766353189999968e+00
1.200000000000000000e+02,1.698401803699999873e+05,2.243455098780000117e+05,1.153348508609999990e+05,2.563302752190000078e+01,6.815051466419999926e+00
1.250000000000000000e+02,1.978169271820000140e+05,2.533579134759999870e+05,1.422759408880000119e+05,2.328440366870000133e+01,6.791510942500000425e+00
1.300000000000000000e+02,2.379770277390000119e+05,3.113888966539999819e+05,1.645651588240000128e+05,2.093577981540000010e+01,6.576865680270000070e+00
1.350000000000000000e+02,2.772169089200000162e+05,3.227373644799999893e+05,2.316964533600000141e+05,1.858715596209999887e+01,6.415797030330000261e+00
1.400000000000000000e+02,3.690481012179999962e+05,4.904859199779999908e+05,2.476102824580000015e+05,1.623853210889999943e+01,6.421686058159999710e+00
